id;brand;name;calories;total_fat;saturated;polyunsaturated;monounsaturated;trans;total_carbs;fibre;sugars;protein;cholesterol;sodium;potassium
1;embrace disintermediate Gorgeous;wireless SMTP;38095;44288;40317;75126;70633;8425;38994;23603;18073;25869;41098;47208;45781
2;withdrawal Central;Strategist;3632;5136;71837;81708;95407;74157;45272;23664;34408;67805;5716;15867;34809
3;Salad;Fresh;54080;54418;77723;82885;70447;508;68898;2058;6158;20565;5957;3114;74721
4;Liaison value-added Versatile;invoice ADP communities;89289;6567;3719;70661;400;47702;79093;15970;94658;71900;4880;83956;35071
5;Cambridgeshire haptic European Unit of Account 9(E.U.A.-9);Borders;78441;17304;15179;95866;6821;98826;67926;28356;62294;15665;94430;81805;40701
6;District;Avon transmitter Cotton;40713;87946;7807;99447;29601;36604;92177;49579;74;70734;19277;6485;32480
7;Synergistic Chips;Sleek;63226;67311;20731;47148;85975;58913;38961;43664;7335;69868;7705;96786;90644
8;User-friendly;expedite;42999;48809;18555;3162;84199;82169;33404;70795;46965;29339;88641;54392;11963
9;Tasty Freeway;bypassing;26024;95699;74750;73411;99543;80776;54150;43336;46626;85187;57949;19547;11827
10;Cayman Islands Sausages Keyboard;Rand Namibia Dollar;77333;12775;92801;73213;6573;91523;77230;2623;28317;94652;36833;71369;66460
